President Name,Years In Office,Number,Party,Question,Answer,Cot,Current President
George Washington,1789-1797,1st,Federalist,Who was the 1st president in the United States?,George Washington,"There was no president ahead of her/him. George Washington was the 1st president of the United States, serving from 1789-1797, and belonged to the Federalist Party.",No
John Adams,1797-1801,2nd,Federalist,Who was the 2nd president in the United States?,John Adams,"The former 1st president was George Washington, 2nd president was after the stage. John Adams was the 2nd president of the United States, serving from 1797-1801, and belonged to the Federalist Party.",No
Thomas Jefferson,1801-1809,3rd,Democratic Republican,Who was the 3rd president in the United States?,Thomas Jefferson,"The former 2nd president was John Adams, 3rd president was after the stage. Thomas Jefferson was the 3rd president of the United States, serving from 1801-1809, and belonged to the Democratic Republican Party.",No
James Madison,1809-1817,4th,Democratic Republican,Who was the 4th president in the United States?,James Madison,"The former 3rd president was Thomas Jefferson, 4th president was after the stage. James Madison was the 4th president of the United States, serving from 1809-1817, and belonged to the Democratic Republican Party.",No
James Monroe,1817-1825,5th,Democratic Republican,Who was the 5th president in the United States?,James Monroe,"The former 4th president was James Madison, 5th president was after the stage. James Monroe was the 5th president of the United States, serving from 1817-1825, and belonged to the Democratic Republican Party.",No
John Quincy Adams,1825-1829,6th,Democratic Republican,Who was the 6th president in the United States?,John Quincy Adams,"The former 5th president was James Monroe, 6th president was after the stage. John Quincy Adams was the 6th president of the United States, serving from 1825-1829, and belonged to the Democratic Republican Party.",No
Andrew Jackson,1829-1837,7th,Democratic,Who was the 7th president in the United States?,Andrew Jackson,"The former 6th president was John Quincy Adams, 7th president was after the stage. Andrew Jackson was the 7th president of the United States, serving from 1829-1837, and belonged to the Democratic Party.",No
Martin Van Buren,1837-1841,8th,Democratic,Who was the 8th president in the United States?,Martin Van Buren,"The former 7th president was Andrew Jackson, 8th president was after the stage. Martin Van Buren was the 8th president of the United States, serving from 1837-1841, and belonged to the Democratic Party.",No
William H. Harrison,1841,9th,Whig,Who was the 9th president in the United States?,William H. Harrison,"The former 8th president was Martin Van Buren, 9th president was after the stage. William H. Harrison was the 9th president of the United States, serving from 1841, and belonged to the Whig Party.",No
John Tyler,1841-1845,10th,Whig,Who was the 10th president in the United States?,John Tyler,"The former 9th president was William H. Harrison, 10th president was after the stage. John Tyler was the 10th president of the United States, serving from 1841-1845, and belonged to the Whig Party.",No
James K. Polk,1845-1849,11th,Democratic,Who was the 11th president in the United States?,James K. Polk,"The former 10th president was John Tyler, 11th president was after the stage. James K. Polk was the 11th president of the United States, serving from 1845-1849, and belonged to the Democratic Party.",No
Zachary Taylor,1849-1850,12th,Whig,Who was the 12th president in the United States?,Zachary Taylor,"The former 11th president was James K. Polk, 12th president was after the stage. Zachary Taylor was the 12th president of the United States, serving from 1849-1850, and belonged to the Whig Party.",No
Millard Fillmore,1850-1853,13th,Whig,Who was the 13th president in the United States?,Millard Fillmore,"The former 12th president was Zachary Taylor, 13th president was after the stage. Millard Fillmore was the 13th president of the United States, serving from 1850-1853, and belonged to the Whig Party.",No
Franklin Pierce,1853-1857,14th,Democratic,Who was the 14th president in the United States?,Franklin Pierce,"The former 13th president was Millard Fillmore, 14th president was after the stage. Franklin Pierce was the 14th president of the United States, serving from 1853-1857, and belonged to the Democratic Party.",No
James Buchanan,1857-1861,15th,Democratic,Who was the 15th president in the United States?,James Buchanan,"The former 14th president was Franklin Pierce, 15th president was after the stage. James Buchanan was the 15th president of the United States, serving from 1857-1861, and belonged to the Democratic Party.",No
