year,category,motivation,fullName,gender,Question,Answer
2023,medicine,for their discoveries concerning nucleoside base modifications that enabled the development of effective mRNA vaccines against COVID-19,Katalin Kariko,female,Who won a Nobel Prize for medicine in 2023?,Katalin Kariko won a Nobel Prize for medicine in 2023 for for their discoveries concerning nucleoside base modifications that enabled the development of effective mRNA vaccines against COVID-19
2023,economics,for having advanced our understanding of womens labour market outcomes,Claudia Goldin,female,Who won a Nobel Prize for economics in 2023?,Claudia Goldin won a Nobel Prize for economics in 2023 for for having advanced our understanding of womens labour market outcomes
2023,peace,for her fight against the oppression of women in Iran and her fight to promote human rights and freedom for all,Narges Mohammadi,female,Who won a Nobel Prize for peace in 2023?,Narges Mohammadi won a Nobel Prize for peace in 2023 for for her fight against the oppression of women in Iran and her fight to promote human rights and freedom for all
2023,literature,for his innovative plays and prose which give voice to the unsayable,Jon Fosse,male,Who won a Nobel Prize for literature in 2023?,Jon Fosse won a Nobel Prize for literature in 2023 for for his innovative plays and prose which give voice to the unsayable
2023,chemistry,for the discovery and synthesis of quantum dots,Alexei Ekimov,male,Who won a Nobel Prize for chemistry in 2023?,Alexei Ekimov won a Nobel Prize for chemistry in 2023 for for the discovery and synthesis of quantum dots
2023,chemistry,for the discovery and synthesis of quantum dots,Louis Brus,male,Who won a Nobel Prize for chemistry in 2023?,Louis Brus won a Nobel Prize for chemistry in 2023 for for the discovery and synthesis of quantum dots
2023,chemistry,for the discovery and synthesis of quantum dots,Moungi Bawendi,male,Who won a Nobel Prize for chemistry in 2023?,Moungi Bawendi won a Nobel Prize for chemistry in 2023 for for the discovery and synthesis of quantum dots
2023,physics,for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter,Anne L Huillier,female,Who won a Nobel Prize for physics in 2023?,Anne L Huillier won a Nobel Prize for physics in 2023 for for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter
2023,physics,for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter,Ferenc Krausz,male,Who won a Nobel Prize for physics in 2023?,Ferenc Krausz won a Nobel Prize for physics in 2023 for for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter
2023,physics,for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter,Pierre Agostini,male,Who won a Nobel Prize for physics in 2023?,Pierre Agostini won a Nobel Prize for physics in 2023 for for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter
